date,item_name,quantity
2022-04-16,Frankie,6
2022-04-17,Frankie,5
2022-04-30,Frankie,13
2022-05-04,Frankie,7
2022-05-08,Frankie,13
2022-05-09,Frankie,9
2022-05-10,Frankie,14
2022-05-14,Frankie,5
2022-05-16,Frankie,15
2022-05-18,Frankie,13
2022-05-22,Frankie,12
2022-05-24,Frankie,13
2022-05-25,Frankie,11
2022-05-27,Frankie,7
2022-05-30,Frankie,10
2022-05-31,Frankie,8
2022-06-06,Frankie,9
2022-06-07,Frankie,8
2022-06-11,Frankie,13
2022-06-12,Frankie,13
2022-06-13,Frankie,6
2022-06-14,Frankie,1
2022-06-16,Frankie,12
2022-06-19,Frankie,6
2022-06-24,Frankie,7
2022-06-25,Frankie,10
2022-06-27,Frankie,10
2022-06-28,Frankie,13
2022-06-30,Frankie,20
2022-07-08,Frankie,5
2022-07-10,Frankie,15
2022-07-12,Frankie,13
2022-07-17,Frankie,6
2022-07-19,Frankie,3
2022-07-20,Frankie,6
2022-07-24,Frankie,10
2022-07-29,Frankie,5
2022-07-31,Frankie,7
2022-08-01,Frankie,5
2022-08-09,Frankie,4
2022-08-12,Frankie,15
2022-08-13,Frankie,10
2022-09-07,Frankie,2
2022-09-08,Frankie,19
2022-09-09,Frankie,4
2022-09-18,Frankie,8
2022-09-20,Frankie,13
2022-09-25,Frankie,6
2022-09-28,Frankie,4
2022-09-30,Frankie,13
2022-10-02,Frankie,12
2022-10-03,Frankie,13
2022-10-07,Frankie,7
2022-10-08,Frankie,7
2022-10-11,Frankie,7
2022-10-13,Frankie,7
2022-10-17,Frankie,12
2022-10-21,Frankie,7
2022-10-28,Frankie,4
2022-10-31,Frankie,25
2022-11-02,Frankie,4
2022-11-03,Frankie,6
2022-11-05,Frankie,9
2022-11-06,Frankie,4
2022-11-10,Frankie,9
2022-11-13,Frankie,11
2022-11-15,Frankie,6
2022-11-19,Frankie,24
2022-11-23,Frankie,9
2022-11-25,Frankie,4
2022-11-26,Frankie,7
2022-11-29,Frankie,15
2022-12-01,Frankie,8
2022-12-04,Frankie,19
2022-12-09,Frankie,9
2022-12-13,Frankie,15
2022-12-25,Frankie,5
2023-01-03,Frankie,13
2023-01-05,Frankie,35
2023-01-06,Frankie,6
2023-01-07,Frankie,3
2023-01-11,Frankie,9
2023-01-13,Frankie,14
2023-01-16,Frankie,2
2023-01-17,Frankie,6
2023-01-20,Frankie,20
2023-01-26,Frankie,15
2023-01-27,Frankie,8
2023-01-28,Frankie,2
2023-01-29,Frankie,7
2023-01-30,Frankie,13
2023-02-01,Frankie,7
2023-02-03,Frankie,23
2023-02-04,Frankie,12
2023-02-05,Frankie,10
2023-02-07,Frankie,10
2023-02-08,Frankie,12
2023-02-12,Frankie,4
2023-02-15,Frankie,15
2023-02-22,Frankie,9
2023-02-24,Frankie,7
2023-02-25,Frankie,9
2023-02-26,Frankie,19
2023-02-27,Frankie,23
2023-02-28,Frankie,6
2023-03-02,Frankie,8
2023-03-09,Frankie,30
2023-03-10,Frankie,7
2023-03-14,Frankie,13
2023-03-15,Frankie,2
2023-03-16,Frankie,11
2023-03-19,Frankie,26
2022-04-03,Panipuri,11
2022-04-08,Panipuri,11
2022-04-21,Panipuri,8
2022-04-22,Panipuri,14
2022-04-23,Panipuri,9
2022-04-24,Panipuri,3
2022-04-27,Panipuri,11
2022-05-03,Panipuri,7
2022-05-08,Panipuri,11
2022-05-09,Panipuri,14
2022-05-12,Panipuri,10
2022-05-17,Panipuri,7
2022-05-25,Panipuri,2
2022-05-27,Panipuri,14
2022-05-28,Panipuri,5
2022-06-01,Panipuri,6
2022-06-04,Panipuri,2
2022-06-05,Panipuri,7
2022-06-10,Panipuri,1
2022-06-13,Panipuri,8
2022-06-17,Panipuri,12
2022-06-19,Panipuri,2
2022-06-22,Panipuri,4
2022-06-24,Panipuri,9
2022-06-26,Panipuri,9
2022-06-30,Panipuri,8
2022-07-01,Panipuri,10
2022-07-02,Panipuri,15
2022-07-05,Panipuri,15
2022-07-08,Panipuri,10
2022-07-20,Panipuri,3
2022-07-21,Panipuri,12
2022-07-26,Panipuri,13
2022-07-27,Panipuri,16
2022-07-29,Panipuri,5
2022-07-30,Panipuri,12
2022-07-31,Panipuri,5
2022-08-02,Panipuri,4
2022-08-04,Panipuri,15
2022-08-06,Panipuri,5
2022-08-08,Panipuri,5
2022-08-10,Panipuri,19
2022-08-13,Panipuri,12
2022-08-14,Panipuri,11
2022-08-15,Panipuri,20
2022-08-17,Panipuri,19
2022-08-18,Panipuri,6
2022-08-21,Panipuri,4
2022-08-22,Panipuri,11
2022-08-24,Panipuri,10
2022-08-27,Panipuri,5
2022-09-01,Panipuri,2
2022-09-07,Panipuri,3
2022-09-08,Panipuri,2
2022-09-11,Panipuri,1
2022-09-14,Panipuri,12
2022-09-16,Panipuri,5
2022-09-21,Panipuri,14
2022-09-22,Panipuri,8
2022-09-25,Panipuri,13
2022-09-27,Panipuri,15
2022-10-01,Panipuri,5
2022-10-09,Panipuri,15
2022-10-13,Panipuri,10
2022-10-16,Panipuri,11
2022-10-19,Panipuri,13
2022-10-23,Panipuri,13
2022-10-28,Panipuri,9
2022-10-30,Panipuri,14
2022-11-01,Panipuri,12
2022-11-05,Panipuri,24
2022-11-08,Panipuri,23
2022-11-09,Panipuri,1
2022-11-11,Panipuri,25
2022-11-12,Panipuri,11
2022-11-16,Panipuri,2
2022-11-17,Panipuri,23
2022-11-18,Panipuri,14
2022-11-20,Panipuri,12
2022-11-23,Panipuri,11
2022-11-26,Panipuri,10
2022-11-30,Panipuri,10
2022-12-03,Panipuri,9
2022-12-12,Panipuri,10
2022-12-14,Panipuri,13
2022-12-15,Panipuri,7
2022-12-16,Panipuri,2
2022-12-17,Panipuri,14
2022-12-22,Panipuri,25
2022-12-24,Panipuri,6
2022-12-28,Panipuri,28
2022-12-29,Panipuri,25
2023-01-04,Panipuri,13
2023-01-07,Panipuri,1
2023-01-10,Panipuri,7
2023-01-11,Panipuri,20
2023-01-13,Panipuri,6
2023-01-16,Panipuri,17
2023-01-21,Panipuri,2
2023-01-22,Panipuri,15
2023-01-25,Panipuri,20
2023-01-27,Panipuri,14
2023-01-28,Panipuri,7
2023-02-03,Panipuri,5
2023-02-06,Panipuri,7
2023-02-08,Panipuri,3
2023-02-13,Panipuri,18
2023-02-15,Panipuri,3
2023-03-03,Panipuri,13
2023-03-05,Panipuri,4
2023-03-07,Panipuri,9
2023-03-08,Panipuri,12
2023-03-09,Panipuri,4
2023-03-16,Panipuri,6
2023-03-19,Panipuri,11
2023-03-23,Panipuri,12
2023-03-25,Panipuri,14
2023-03-27,Panipuri,34
2022-04-01,Sandwich,7
2022-04-02,Sandwich,15
2022-04-03,Sandwich,1
2022-04-04,Sandwich,29
2022-04-07,Sandwich,24
2022-04-09,Sandwich,1
2022-04-12,Sandwich,1
2022-04-14,Sandwich,11
2022-04-16,Sandwich,6
2022-04-17,Sandwich,12
2022-04-19,Sandwich,4
2022-04-23,Sandwich,4
2022-04-30,Sandwich,10
2022-05-03,Sandwich,8
2022-05-07,Sandwich,10
2022-05-08,Sandwich,1
2022-05-15,Sandwich,7
2022-05-21,Sandwich,2
2022-05-22,Sandwich,26
2022-05-25,Sandwich,2
2022-05-26,Sandwich,3
2022-05-27,Sandwich,16
2022-06-11,Sandwich,6
2022-06-15,Sandwich,13
2022-06-17,Sandwich,15
2022-06-19,Sandwich,10
2022-06-25,Sandwich,3
2022-06-30,Sandwich,17
2022-07-03,Sandwich,2
2022-07-04,Sandwich,10
2022-07-06,Sandwich,1
2022-07-10,Sandwich,7
2022-07-11,Sandwich,25
2022-07-14,Sandwich,12
2022-07-21,Sandwich,7
2022-07-25,Sandwich,9
2022-07-26,Sandwich,9
2022-07-27,Sandwich,8
2022-08-05,Sandwich,9
2022-08-09,Sandwich,10
2022-08-12,Sandwich,6
2022-08-14,Sandwich,15
2022-08-22,Sandwich,22
2022-08-30,Sandwich,6
2022-08-31,Sandwich,1
2022-09-01,Sandwich,15
2022-09-04,Sandwich,13
2022-09-05,Sandwich,4
2022-09-07,Sandwich,13
2022-09-11,Sandwich,6
2022-09-17,Sandwich,12
2022-09-20,Sandwich,21
2022-09-21,Sandwich,9
2022-10-01,Sandwich,13
2022-10-07,Sandwich,6
2022-10-08,Sandwich,11
2022-10-09,Sandwich,30
2022-10-14,Sandwich,8
2022-10-18,Sandwich,9
2022-10-20,Sandwich,6
2022-10-21,Sandwich,5
2022-10-22,Sandwich,14
2022-11-02,Sandwich,19
2022-11-05,Sandwich,4
2022-11-10,Sandwich,2
2022-11-12,Sandwich,3
2022-11-18,Sandwich,4
2022-11-22,Sandwich,10
2022-11-24,Sandwich,7
2022-11-28,Sandwich,6
2022-11-29,Sandwich,10
2022-12-01,Sandwich,7
2022-12-02,Sandwich,15
2022-12-10,Sandwich,1
2022-12-11,Sandwich,10
2022-12-14,Sandwich,15
2022-12-17,Sandwich,13
2022-12-22,Sandwich,12
2023-01-01,Sandwich,13
2023-01-03,Sandwich,10
2023-01-04,Sandwich,15
2023-01-05,Sandwich,11
2023-01-06,Sandwich,12
2023-01-12,Sandwich,14
2023-01-16,Sandwich,23
2023-01-18,Sandwich,7
2023-01-19,Sandwich,8
2023-01-23,Sandwich,7
2023-01-25,Sandwich,7
2023-01-26,Sandwich,13
2023-01-31,Sandwich,3
2023-02-05,Sandwich,5
2023-02-07,Sandwich,4
2023-02-13,Sandwich,26
2023-02-14,Sandwich,7
2023-02-17,Sandwich,12
2023-02-21,Sandwich,8
2023-02-23,Sandwich,14
2023-02-24,Sandwich,7
2023-03-01,Sandwich,18
2023-03-06,Sandwich,7
2023-03-07,Sandwich,1
2023-03-08,Sandwich,9
2023-03-13,Sandwich,14
2023-03-15,Sandwich,20
2023-03-18,Sandwich,11
2023-03-19,Sandwich,28
2023-03-26,Sandwich,1
2023-03-27,Sandwich,6
2022-04-15,Sugarcane juice,3
2022-04-16,Sugarcane juice,3
2022-04-17,Sugarcane juice,11
2022-04-21,Sugarcane juice,9
2022-04-23,Sugarcane juice,13
2022-04-30,Sugarcane juice,13
2022-05-03,Sugarcane juice,9
2022-05-04,Sugarcane juice,13
2022-05-05,Sugarcane juice,13
2022-05-06,Sugarcane juice,12
2022-05-08,Sugarcane juice,17
2022-05-09,Sugarcane juice,1
2022-05-12,Sugarcane juice,8
2022-05-13,Sugarcane juice,1
2022-05-20,Sugarcane juice,18
2022-05-25,Sugarcane juice,14
2022-05-26,Sugarcane juice,14
2022-06-06,Sugarcane juice,6
2022-06-07,Sugarcane juice,1
2022-06-18,Sugarcane juice,19
2022-06-22,Sugarcane juice,15
2022-06-25,Sugarcane juice,19
2022-06-26,Sugarcane juice,1
2022-06-28,Sugarcane juice,2
2022-06-30,Sugarcane juice,12
2022-07-01,Sugarcane juice,7
2022-07-02,Sugarcane juice,11
2022-07-04,Sugarcane juice,1
2022-07-10,Sugarcane juice,5
2022-07-13,Sugarcane juice,12
2022-07-14,Sugarcane juice,7
2022-07-17,Sugarcane juice,13
2022-07-18,Sugarcane juice,27
2022-07-19,Sugarcane juice,23
2022-07-21,Sugarcane juice,4
2022-07-22,Sugarcane juice,5
2022-07-30,Sugarcane juice,7
2022-08-03,Sugarcane juice,7
2022-08-04,Sugarcane juice,9
2022-08-05,Sugarcane juice,5
2022-08-09,Sugarcane juice,14
2022-08-10,Sugarcane juice,21
2022-08-12,Sugarcane juice,15
2022-08-13,Sugarcane juice,7
2022-08-15,Sugarcane juice,6
2022-08-18,Sugarcane juice,4
2022-08-22,Sugarcane juice,7
2022-08-26,Sugarcane juice,13
2022-08-27,Sugarcane juice,6
2022-08-28,Sugarcane juice,15
2022-09-03,Sugarcane juice,13
2022-09-05,Sugarcane juice,12
2022-09-09,Sugarcane juice,4
2022-09-10,Sugarcane juice,2
2022-09-11,Sugarcane juice,3
2022-09-12,Sugarcane juice,23
2022-09-15,Sugarcane juice,4
2022-09-22,Sugarcane juice,12
2022-09-27,Sugarcane juice,7
2022-09-30,Sugarcane juice,6
2022-10-02,Sugarcane juice,13
2022-10-03,Sugarcane juice,7
2022-10-04,Sugarcane juice,12
2022-10-08,Sugarcane juice,14
2022-10-11,Sugarcane juice,23
2022-10-14,Sugarcane juice,13
2022-10-16,Sugarcane juice,4
2022-10-17,Sugarcane juice,3
2022-10-18,Sugarcane juice,13
2022-10-20,Sugarcane juice,2
2022-10-21,Sugarcane juice,10
2022-10-22,Sugarcane juice,1
2022-10-26,Sugarcane juice,3
2022-10-27,Sugarcane juice,14
2022-10-29,Sugarcane juice,4
2022-10-30,Sugarcane juice,11
2022-11-08,Sugarcane juice,14
2022-11-14,Sugarcane juice,1
2022-11-15,Sugarcane juice,6
2022-11-27,Sugarcane juice,23
2022-11-28,Sugarcane juice,1
2022-11-29,Sugarcane juice,13
2022-11-30,Sugarcane juice,10
2022-12-02,Sugarcane juice,14
2022-12-03,Sugarcane juice,14
2022-12-04,Sugarcane juice,7
2022-12-07,Sugarcane juice,9
2022-12-10,Sugarcane juice,8
2022-12-13,Sugarcane juice,10
2022-12-14,Sugarcane juice,14
2022-12-24,Sugarcane juice,8
2022-12-25,Sugarcane juice,24
2022-12-27,Sugarcane juice,9
2022-12-28,Sugarcane juice,7
2022-12-29,Sugarcane juice,14
2022-12-30,Sugarcane juice,14
2023-01-02,Sugarcane juice,17
2023-01-03,Sugarcane juice,11
2023-01-04,Sugarcane juice,10
2023-01-06,Sugarcane juice,6
2023-01-11,Sugarcane juice,11
2023-01-13,Sugarcane juice,15
2023-01-15,Sugarcane juice,12
2023-01-18,Sugarcane juice,5
2023-01-19,Sugarcane juice,12
2023-01-20,Sugarcane juice,9
2023-01-21,Sugarcane juice,15
2023-01-23,Sugarcane juice,6
2023-01-24,Sugarcane juice,8
2023-01-27,Sugarcane juice,7
2023-02-03,Sugarcane juice,6
2023-02-04,Sugarcane juice,12
2023-02-05,Sugarcane juice,1
2023-02-07,Sugarcane juice,24
2023-02-10,Sugarcane juice,9
2023-02-11,Sugarcane juice,10
2023-02-16,Sugarcane juice,10
2023-02-23,Sugarcane juice,3
2023-03-01,Sugarcane juice,7
2023-03-03,Sugarcane juice,10
2023-03-09,Sugarcane juice,14
2023-03-15,Sugarcane juice,10
2023-03-16,Sugarcane juice,12
2023-03-17,Sugarcane juice,14
2023-03-18,Sugarcane juice,7
2023-03-19,Sugarcane juice,6
2023-03-23,Sugarcane juice,14
2023-03-30,Sugarcane juice,14
2022-04-07,Vadapav,3
2022-04-08,Vadapav,4
2022-04-09,Vadapav,12
2022-04-10,Vadapav,7
2022-04-11,Vadapav,6
2022-04-12,Vadapav,10
2022-04-23,Vadapav,13
2022-04-24,Vadapav,5
2022-04-25,Vadapav,9
2022-04-26,Vadapav,13
2022-04-30,Vadapav,7
2022-05-03,Vadapav,13
2022-05-04,Vadapav,3
2022-05-07,Vadapav,7
2022-05-09,Vadapav,15
2022-05-14,Vadapav,2
2022-05-15,Vadapav,15
2022-05-16,Vadapav,15
2022-05-18,Vadapav,4
2022-05-22,Vadapav,8
2022-05-23,Vadapav,3
2022-05-26,Vadapav,1
2022-05-27,Vadapav,13
2022-05-28,Vadapav,15
2022-05-31,Vadapav,2
2022-06-05,Vadapav,3
2022-06-08,Vadapav,14
2022-06-10,Vadapav,5
2022-06-16,Vadapav,3
2022-06-20,Vadapav,15
2022-06-26,Vadapav,12
2022-06-30,Vadapav,6
2022-07-01,Vadapav,5
2022-07-04,Vadapav,20
2022-07-09,Vadapav,8
2022-07-12,Vadapav,8
2022-07-15,Vadapav,6
2022-07-23,Vadapav,10
2022-07-27,Vadapav,6
2022-08-03,Vadapav,1
2022-08-05,Vadapav,15
2022-08-07,Vadapav,11
2022-08-13,Vadapav,6
2022-08-15,Vadapav,6
2022-08-17,Vadapav,9
2022-08-20,Vadapav,3
2022-08-23,Vadapav,15
2022-08-27,Vadapav,5
2022-08-30,Vadapav,14
2022-08-31,Vadapav,23
2022-09-05,Vadapav,8
2022-09-06,Vadapav,14
2022-09-14,Vadapav,30
2022-09-16,Vadapav,2
2022-09-18,Vadapav,5
2022-09-19,Vadapav,1
2022-09-21,Vadapav,14
2022-09-25,Vadapav,3
2022-09-28,Vadapav,3
2022-09-29,Vadapav,11
2022-10-01,Vadapav,4
2022-10-02,Vadapav,12
2022-10-03,Vadapav,2
2022-10-05,Vadapav,32
2022-10-12,Vadapav,10
2022-10-17,Vadapav,4
2022-10-18,Vadapav,5
2022-10-23,Vadapav,5
2022-10-26,Vadapav,13
2022-10-29,Vadapav,15
2022-11-02,Vadapav,8
2022-11-14,Vadapav,10
2022-11-16,Vadapav,10
2022-11-20,Vadapav,1
2022-11-24,Vadapav,10
2022-11-28,Vadapav,8
2022-12-01,Vadapav,6
2022-12-05,Vadapav,12
2022-12-07,Vadapav,14
2022-12-13,Vadapav,3
2022-12-14,Vadapav,6
2022-12-15,Vadapav,13
2022-12-17,Vadapav,3
2022-12-18,Vadapav,10
2022-12-19,Vadapav,2
2022-12-24,Vadapav,9
2022-12-25,Vadapav,14
2022-12-27,Vadapav,3
2023-01-03,Vadapav,8
2023-01-04,Vadapav,3
2023-01-10,Vadapav,16
2023-01-18,Vadapav,2
2023-01-26,Vadapav,14
2023-01-28,Vadapav,13
2023-02-03,Vadapav,15
2023-02-04,Vadapav,15
2023-02-06,Vadapav,15
2023-02-08,Vadapav,12
2023-02-09,Vadapav,15
2023-02-13,Vadapav,8
2023-02-14,Vadapav,6
2023-02-19,Vadapav,15
2023-02-25,Vadapav,2
2023-02-26,Vadapav,1
2023-02-27,Vadapav,9
2023-03-01,Vadapav,12
2023-03-02,Vadapav,11
2023-03-04,Vadapav,9
2023-03-05,Vadapav,17
2023-03-11,Vadapav,7
2023-03-15,Vadapav,1
2023-03-26,Vadapav,11
